epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,gt_set,pred_set,pred_hist_0..9,has_nan
1,1.949927,0.284105,1.591219,0.453202,0.389164,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[10, 43, 3, 19, 0, 13, 32, 8, 29, 46]",False
2,1.642666,0.411765,1.648042,0.394089,0.340590,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 55, 1, 6, 6, 38, 11, 25, 41, 18]",False
3,1.522516,0.448060,1.435898,0.438424,0.390800,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[19, 50, 4, 8, 24, 3, 34, 14, 8, 39]",False
4,1.489686,0.431790,1.329145,0.502463,0.476572,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[19, 22, 2, 13, 40, 20, 19, 25, 22, 21]",False
5,1.415605,0.491865,1.303689,0.536946,0.519579,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[29, 23, 12, 5, 9, 36, 25, 15, 16, 33]",False
6,1.371365,0.483104,1.374916,0.492611,0.454120,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 23, 12, 7, 34, 14, 24, 60, 8, 19]",False
7,1.319384,0.523154,1.152541,0.581281,0.554145,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[10, 23, 21, 2, 9, 25, 19, 27, 43, 24]",False
8,1.270278,0.528160,1.320271,0.541872,0.515844,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8, 24, 24, 26, 22, 7, 28, 36, 4, 24]",False
9,1.204239,0.569462,1.139888,0.586207,0.588626,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[14, 24, 14, 22, 19, 8, 21, 18, 9, 54]",False
10,1.173455,0.566959,1.676967,0.448276,0.410704,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7, 22, 41, 40, 17, 5, 24, 2, 1, 44]",False
11,1.197890,0.574468,1.519540,0.472906,0.446337,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[21, 21, 14, 1, 8, 63, 13, 17, 32, 13]",False
12,1.116494,0.607009,3.584539,0.226601,0.154295,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 3, 4, 6, 9]","[0, 13, 13, 81, 3, 0, 74, 0, 0, 19]",False
13,1.051200,0.637046,1.137966,0.605911,0.593083,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[11, 22, 35, 53, 4, 15, 19, 24, 11, 9]",False
14,1.038891,0.649562,1.409173,0.541872,0.520557,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[50, 19, 12, 13, 37, 7, 29, 4, 3, 29]",False
15,1.098129,0.617021,1.202473,0.591133,0.559933,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[47, 18, 3, 3, 41, 13, 23, 35, 8, 12]",False
16,0.975532,0.653317,1.965396,0.418719,0.358430,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6, 8, 9]","[62, 9, 11, 0, 13, 49, 25, 0, 22, 12]",False
17,0.977707,0.654568,1.053080,0.660099,0.657878,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[42, 16, 30, 8, 16, 21, 22, 11, 25, 12]",False
18,1.046938,0.624531,1.205376,0.581281,0.587235,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7, 15, 25, 47, 15, 9, 22, 10, 35, 18]",False
19,0.942925,0.684606,1.399808,0.596059,0.553702,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 33, 51, 11, 1, 18, 19, 23, 30, 12]",False
20,0.945035,0.674593,1.169144,0.605911,0.577754,1.000000e-03,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[59, 23, 7, 8, 27, 32, 15, 14, 15, 3]",False
21,0.934613,0.655820,1.589837,0.507389,0.493038,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8, 25, 7, 27, 20, 7, 14, 63, 28, 4]",False
22,0.860258,0.702128,0.840923,0.714286,0.706107,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[40, 24, 18, 8, 19, 22, 19, 19, 18, 16]",False
23,0.815934,0.709637,2.024469,0.418719,0.365466,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6, 8, 9]","[81, 14, 32, 0, 2, 25, 15, 0, 28, 6]",False
24,0.816898,0.710889,0.951310,0.724138,0.725847,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[31, 21, 23, 10, 20, 18, 25, 15, 13, 27]",False
25,0.793860,0.723404,0.767468,0.783251,0.776626,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[21, 22, 19, 22, 18, 19, 24, 27, 16, 15]",False
26,0.753509,0.752190,1.363215,0.581281,0.556132,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6, 7, 8, 9]","[35, 13, 11, 0, 19, 44, 18, 11, 25, 27]",False
27,0.729629,0.749687,1.029070,0.684729,0.676649,5.000000e-04,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[20, 20, 8, 44, 21, 13, 25, 26, 13, 13]",False
