epoch,acc,f1,rmse_v,rmse_a,,
1,0,0,0.395172,0.172829,,
2,0,0,0.651109,0.071294,,
3,0,0,1.036592,0.389019,,
4,0,0,1.556486,0.784183,,
5,0,0,2.1459,1.208856,,
1,0.001,0.3448,0.2335,0.066579,0.065089,0.832353
2,0.001,0.335,0.2553,0.048652,0.057045,0.797576
3,0.001,0.468,0.4195,0.031387,0.043426,0.617903
4,0.001,0.2365,0.1751,0.03344,0.051427,0.867299
5,0.001,0.4384,0.3565,0.140535,0.131722,0.77958
6,0.001,0.468,0.4485,0.028353,0.046166,0.588772
7,0.001,0.5517,0.5532,0.061137,0.054371,0.504584
8,0.001,0.5468,0.5086,0.025832,0.048997,0.528772
9,0.001,0.5172,0.4405,0.026562,0.043938,0.59472
10,0.001,0.4778,0.4062,0.045782,0.044359,0.638855
11,0.001,0.4433,0.3594,0.034862,0.049213,0.682635
12,0.0005,0.6453,0.5968,0.024392,0.046797,0.438807
13,0.0005,0.5714,0.5034,0.026526,0.042179,0.530992
14,0.0005,0.6059,0.5594,0.023758,0.040633,0.472748
15,0.0005,0.665,0.6331,0.036515,0.043363,0.406841
16,0.0005,0.7586,0.7574,0.02497,0.039986,0.27506
17,0.0005,0.4138,0.4068,0.028425,0.038634,0.626755
18,0.0005,0.5616,0.4941,0.027443,0.043509,0.541426
19,0.0005,0.67,0.6583,0.031386,0.043049,0.378922
20,0.0005,0.6256,0.5847,0.025806,0.037174,0.446829
1,0.00050000,0.2611,0.1718,0.075811,0.086512,0.909321
2,0.00050000,0.4778,0.3945,0.051826,0.052580,0.657697
3,0.00050000,0.4828,0.4158,0.046935,0.044722,0.629994
4,0.00050000,0.3498,0.2226,0.032155,0.053017,0.820028
5,0.00050000,0.5123,0.4315,0.085746,0.063811,0.643279
6,0.00050000,0.4532,0.3815,0.029690,0.043472,0.655070
7,0.00050000,0.5222,0.4735,0.035996,0.054229,0.571642
8,0.00050000,0.5567,0.5281,0.029944,0.044076,0.508907
9,0.00050000,0.5123,0.4532,0.030120,0.046341,0.585025
10,0.00050000,0.5123,0.4570,0.058051,0.057518,0.600812
11,0.00050000,0.6010,0.5611,0.028713,0.043845,0.475185
12,0.00050000,0.4926,0.4333,0.024037,0.044702,0.601061
13,0.00050000,0.6502,0.6314,0.028511,0.036968,0.401306
14,0.00050000,0.6552,0.6130,0.025660,0.038174,0.418880
15,0.00050000,0.3892,0.3517,0.033111,0.039527,0.684595
16,0.00050000,0.5419,0.4431,0.032383,0.036814,0.591520
17,0.00050000,0.6798,0.6518,0.023977,0.037242,0.378856
18,0.00050000,0.5665,0.5067,0.031097,0.043081,0.530396
19,0.00050000,0.5369,0.4658,0.035074,0.043101,0.573293
20,0.00050000,0.3547,0.3093,0.028322,0.038870,0.724267
21,0.00050000,0.6453,0.6209,0.027104,0.039350,0.412307
22,0.00025000,0.5862,0.5682,0.024072,0.040664,0.464148
23,0.00025000,0.7340,0.7208,0.036288,0.040763,0.317698
24,0.00025000,0.7192,0.6978,0.026061,0.038531,0.334504
25,0.00025000,0.6946,0.6709,0.025067,0.038262,0.360801
26,0.00025000,0.6552,0.6272,0.033752,0.038713,0.409035
27,0.00025000,0.7685,0.7539,0.035113,0.041289,0.284327
28,0.00025000,0.7241,0.7158,0.025779,0.037118,0.315628
29,0.00025000,0.6995,0.6777,0.026280,0.038871,0.354841
30,0.00025000,0.7094,0.6894,0.026126,0.040980,0.344176
31,0.00025000,0.7094,0.7013,0.027876,0.035476,0.330362
32,0.00012500,0.7783,0.7569,0.026276,0.036105,0.274276
33,0.00012500,0.7734,0.7533,0.027336,0.036607,0.278690
34,0.00012500,0.7537,0.7391,0.025687,0.038428,0.292993
35,0.00012500,0.7980,0.7904,0.028524,0.036203,0.241951
36,0.00012500,0.7833,0.7681,0.025714,0.036378,0.262905
37,0.00012500,0.7438,0.7341,0.026020,0.037652,0.297688
38,0.00012500,0.7537,0.7355,0.026493,0.037303,0.296384
39,0.00012500,0.7783,0.7598,0.026892,0.036238,0.271717
40,0.00006250,0.7537,0.7354,0.026619,0.036090,0.295911
41,0.00006250,0.7882,0.7735,0.027636,0.036102,0.258380
42,0.00006250,0.7734,0.7540,0.025704,0.036410,0.277023
43,0.00006250,0.7931,0.7769,0.026520,0.036111,0.254410
44,0.00003125,0.7931,0.7814,0.026775,0.035962,0.250009
45,0.00003125,0.7833,0.7681,0.027364,0.035730,0.263420
46,0.00003125,0.7882,0.7733,0.025762,0.036436,0.257794
47,0.00003125,0.8030,0.7917,0.025606,0.035833,0.238985
48,0.00003125,0.8177,0.8060,0.027050,0.036017,0.225500
49,0.00003125,0.7882,0.7759,0.026930,0.036428,0.255820
50,0.00003125,0.7931,0.7816,0.028278,0.035487,0.250315
